instraction,regwrite,regdst,alusrc,branch,memwrite,memtoreg,jump,jr,aluop,ne,half,b,lbu,link,spregwrite,mf,fpu_control,fpu_mem_write ,fp_regwrite ,mem_to_fp ,fp_regdst
LW,1,0,01,0,00,1,0,0,0000,0,00,0,0,0,0,0,0000,0,0,0,0
SW,0,0,01,0,01,0,0,0,0000,0,00,0,0,0,0,0,0000,0,0,0,0
BEQ,0,0,00,1,00,0,0,0,0001,0,00,0,0,0,0,0,0000,0,0,0,0
ADDI,1,0,01,0,00,0,0,0,0000,0,00,0,0,0,0,0,0000,0,0,0,0
ADDIU,1,0,01,0,00,0,0,0,0000,0,00,0,0,0,0,0,0000,0,0,0,0
ORI,1,0,11,0,00,0,0,0,0011,0,00,0,0,0,0,0,0000,0,0,0,0
J,0,0,00,0,00,0,1,0,0000,0,00,0,0,0,0,0,0000,0,0,0,0
BNQ,0,0,00,1,00,0,0,0,0001,1,00,0,0,0,0,0,0000,0,0,0,0
LH,1,0,01,0,00,1,0,0,0000,0,01,0,0,0,0,0,0000,0,0,0,0
LB,1,0,01,0,00,1,0,0,0000,0,01,1,0,0,0,0,0000,0,0,0,0
lbu,1,0,01,0,00,0,0,0,0000,0,00,0,1,0,0,0,0000,0,0,0,0
andi,1,0,11,0,00,0,0,0,0111,0,00,0,0,0,0,0,0000,0,0,0,0
jal,1,0,00,0,00,0,1,0,0000,0,00,0,0,1,0,0,0000,0,0,0,0
LUI,1,0,01,0,00,0,0,0,0100,0,00,0,0,0,0,0,0000,0,0,0,0
XORI,1,0,01,0,00,0,0,0,0101,0,00,0,0,0,0,0,0000,0,0,0,0
Blez,0,0,00,1,00,0,0,0,0010,0,00,0,0,0,0,0,0000,0,0,0,0
slti,1,0,01,0,00,0,0,0,0110,0,00,0,0,0,0,0,0000,0,0,0,0
sltiu,1,0,01,0,00,0,0,0,1000,0,00,0,0,0,0,0,0000,0,0,0,0
bgtz,0,0,00,1,00,0,0,0,1110,0,00,0,0,0,0,0,0000,0,0,0,0
lhu,1,0,01,0,00,1,0,0,0000,0,10,0,0,0,0,0,0000,0,0,0,0
sh,0,0,01,0,10,0,0,0,0000,0,00,0,0,0,0,0,0000,0,0,0,0
sb,0,0,01,0,11,0,0,0,0000,0,00,0,0,0,0,0,0000,0,0,0,0
fpu,0,0,01,0,00,0,0,0,0000,0,00,0,0,0,0,0,0000,0,1,1,0
